Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Parkinson disease	95/249	9.64667541727856e-29	2.96152935310452e-26	5.05539734939176	326.115363630912	PSMC6;PSMC4;PSMC2;PSMC3;PSMC1;UQCRC1;CALM2;CALM1;UQCR11;UBE2L6;UBE2L3;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;DAXX;XBP1;COX7A2L;TXN;PLCG1;PRKACB;TUBB;UBE2G2;TUBB2A;COX6C;UBE2G1;COX7B;TUBB4B;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;NDUFA11;TUBA1A;COX5B;GNAI2;GNAI3;PSMB7;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;SDHD;SDHB;UQCRQ;PPIF;COX6A1;KIF5C;KIF5B;EIF2S1;BCL2L1;GNAS;COX7A2;UBC;UBB;HSPA5;NDUFC2;NDUFS8;NDUFS6;NDUFS5;NDUFS3;CYCS;NFE2L2;PSMD11;PSMD13;SLC25A4;NDUFB8;NDUFB7;NDUFB6;PSMD14;NDUFB3;NDUFB2;KLC2;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;DDIT3;VDAC3;VDAC1	1	KEGG_2021_Human
Prion disease	95/273	3.24436191238992e-25	4.98009553551853e-23	4.36780752411441	246.290658026921	PSMC6;PSMC4;PSMC2;PSMC3;PSMC1;UQCRC1;UQCR11;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;EGR1;PRKCD;COX7A2L;CSNK2B;PRKACB;TUBB;TUBB2A;COX6C;COX7B;PPP3CA;STIP1;CSNK2A1;TUBB4B;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;NDUFA11;TUBA1A;COX5B;PSMB7;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;RAC1;RAC2;SDHD;SDHB;UQCRQ;PPIF;NCF1;COX6A1;KIF5C;KIF5B;PRNP;CYBA;EIF2S1;NOTCH1;NCF4;COX7A2;HSPA5;HSPA8;NDUFC2;NDUFS8;NDUFS6;NDUFS5;NDUFS3;CYCS;PSMD11;PSMD13;SLC25A4;NDUFB8;NDUFB7;NDUFB6;PSMD14;NDUFB3;NDUFB2;KLC2;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;DDIT3;VDAC3;VDAC1;PIK3CD;CCL5;MAPK1	2	KEGG_2021_Human
Pathways of neurodegeneration	131/475	2.23640639419019e-23	2.28858921005463e-21	3.13973171027132	163.75141016764	PSMC6;PSMC4;PSMC2;PSMC3;PSMC1;UQCRC1;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;DAXX;GABARAPL1;TBK1;PLCG1;TUBB2A;ATG101;CSNK2A1;TUBB4B;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;PSMA1;NDUFA12;NDUFA13;NDUFA11;TUBA1A;PSMB7;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;BID;UQCRQ;TARDBP;RAB1A;CSF1;TANK;NRAS;BCL2L1;RAB5A;FASLG;WIPI1;NDUFC2;TNFRSF1A;CDK5;SLC25A4;NDUFB8;NDUFB7;NDUFB6;NDUFB3;NDUFB2;KLC2;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;HSD17B10;BAK1;CALM2;CALM1;STX1A;UQCR11;UBE2L6;UBE2L3;XBP1;COX7A2L;CSNK2B;TUBB;UBE2G2;COX6C;UBE2G1;ACTR10;COX7B;ACTR1A;PPP3CA;FADD;NDUFAB1;HIP1;COX5A;DERL1;COX5B;RAB8A;HRAS;RAC1;SDHD;SDHB;PPIF;PPID;COX6A1;KIF5C;KIF5B;CAPN1;CAPN2;PRNP;EIF2S1;PSEN2;COX7A2;UBC;UBB;HSPA5;NDUFS8;NDUFS6;NDUFS5;NDUFS3;CYCS;PSMD11;PSMD13;PSMD14;CASP7;UQCRFS1;CASP3;WNT1;DDIT3;VDAC3;KRAS;VDAC1;DCTN6;DCTN3;DCTN2;ATP2A3;MAPK1	3	KEGG_2021_Human
Proteasome	34/46	3.9253478570187e-23	3.01270448026185e-21	22.7602987777275	1174.24938382939	ADRM1;PSMB9;PSMA6;PSMA7;PSMA4;PSMC6;PSMA5;PSMA2;PSMC4;PSMA3;PSMC2;IFNG;PSMA1;PSMC3;PSME2;PSMC1;PSME1;PSMD11;PSMD13;POMP;PSMD14;PSMB10;PSMB7;PSMD9;PSMB8;PSMD7;PSMB6;PSMD8;PSMB3;PSMD6;PSMB1;PSMD3;PSMB2;PSMD4	4	KEGG_2021_Human
Alzheimer disease	108/369	1.24553148428859e-21	6.81335965555416e-20	3.39097149317613	163.223479015052	PSMC6;PSMC4;PSMC2;PSMC3;PSMC1;UQCRC1;CALM2;CALM1;UQCR11;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;XBP1;COX7A2L;CSNK2B;PSENEN;TUBB;TUBB2A;COX6C;COX7B;PPP3CA;ATG101;FADD;CSNK2A1;TUBB4B;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;NDUFA11;TUBA1A;COX5B;PSMB7;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;HRAS;BID;SDHD;SDHB;UQCRQ;PPIF;PPID;CSF1;COX6A1;NRAS;KIF5C;KIF5B;CAPN1;CAPN2;EIF2S1;PSEN2;COX7A2;EIF2AK2;WIPI1;NDUFC2;TNFRSF1A;NDUFS8;CDK5;NDUFS6;NDUFS5;NDUFS3;CYCS;PSMD11;RTN3;RTN4;PSMD13;SLC25A4;NDUFB8;NDUFB7;NDUFB6;PSMD14;NDUFB3;NDUFB2;KLC2;CASP7;UQCRFS1;CASP3;WNT1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;DDIT3;VDAC3;KRAS;VDAC1;GAPDH;ATP2A3;PIK3CD;HSD17B10;MAPK1	5	KEGG_2021_Human
Amyotrophic lateral sclerosis	107/364	1.33160123561319e-21	6.81335965555416e-20	3.41104504583279	163.9617885256	PSMC6;PSMC4;PSMC2;PSMC3;PSMC1;UQCRC1;PFN1;UQCR11;PSMD9;ACTB;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;DAXX;GABARAPL1;XBP1;COX7A2L;TBK1;TUBB;TUBB2A;COX6C;ACTR10;COX7B;ACTR1A;PPP3CA;ATG101;RANBP2;TUBB4B;PSMA6;PSMA7;PSMA4;PSMA5;HNRNPA2B1;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;NDUFA11;DERL1;TUBA1A;COX5B;PSMB7;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;RAB8A;RAC1;BID;SDHD;SDHB;UQCRQ;SRSF3;SRSF7;TARDBP;RAB1A;TANK;COX6A1;KIF5C;KIF5B;CHCHD10;EIF2S1;BCL2L1;RAB5A;ACTG1;COX7A2;HSPA5;WIPI1;NDUFC2;TNFRSF1A;NDUFS8;NDUFS6;NDUFS5;NDUFS3;CYCS;PSMD11;PSMD13;NDUFB8;NDUFB7;NDUFB6;PSMD14;NDUFB3;NDUFB2;KLC2;UQCRFS1;CASP3;CASP1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;DDIT3;VDAC1;DCTN6;NXT1;DCTN3;DCTN2	6	KEGG_2021_Human
Huntington disease	93/306	5.05815019744605e-20	2.21836015802277e-18	3.56281690140845	158.298452524961	PSMC6;PSMC4;PSMC2;PSMC3;PSMC1;UQCRC1;STX1A;UQCR11;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;COX7A2L;TUBB;TUBB2A;COX6C;ACTR10;COX7B;CLTC;CLTB;CLTA;ACTR1A;ATG101;AP2B1;TUBB4B;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;HIP1;COX5A;NDUFA12;NDUFA13;NDUFA11;TUBA1A;COX5B;PSMB7;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;SDHD;SDHB;UQCRQ;PPIF;COX6A1;KIF5C;KIF5B;COX7A2;AP2M1;WIPI1;NDUFC2;NDUFS8;NDUFS6;NDUFS5;NDUFS3;CYCS;PSMD11;PSMD13;SLC25A4;NDUFB8;NDUFB7;NDUFB6;PSMD14;NDUFB3;NDUFB2;KLC2;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;REST;VDAC3;VDAC1;DCTN6;DCTN3;DCTN2;POLR2G;POLR2J;POLR2L	7	KEGG_2021_Human
Salmonella infection	78/249	7.51906274594344e-18	2.8854403287558e-16	3.70516591710222	146.091321071901	DYNC1LI1;PFN1;AHNAK;RALA;ARPC5L;MYL12B;ACTB;S100A10;MYL12A;TXN;TNFSF10;SKP1;RHOA;ANXA2;JUN;RIPK3;TUBB;TUBB2A;RHOB;ACTR10;RAB5C;ARF1;ARPC1B;ACTR1A;FADD;DYNLL1;FOS;TUBB4B;ARF6;DYNC1H1;FHOD1;TUBA1A;TUBA1C;TUBA1B;HRAS;RAC1;IKBKG;HSP90B1;PYCARD;PAK1;KIF5C;KIF5B;FLNA;KPNA3;KPNA4;ARPC5;MYD88;ARPC3;ARPC4;ARPC2;DYNLRB1;RAB5A;BIRC2;ACTG1;ACTR3;ACTR2;HSP90AA1;DNM2;TNFRSF1A;CYCS;BRK1;KLC2;CASP7;CASP4;CASP3;CASP1;DYNLT3;VPS33A;CDC42;GAPDH;DCTN6;DCTN3;DCTN2;PIK3CD;PIK3CG;CYTH4;BAK1;MAPK1	8	KEGG_2021_Human
Endocytosis	73/252	8.66220040097639e-15	2.95477280344417e-13	3.30353989135752	106.967986136378	PML;RUFY1;VPS29;ARPC5L;CBLB;IL2RG;MVB12B;HLA-C;SNF8;VPS37B;HLA-B;ARFGAP3;EHD1;BIN1;VPS26A;RHOA;ARF4;ARF5;RAB5C;ARF3;ARF1;ARPC1B;CLTC;CLTB;CLTA;SNX2;SNX3;CCR5;SNX6;AP2B1;RAB11A;ARF6;RAB22A;RAB8A;HRAS;GIT2;USP8;SH3GLB1;ACAP3;CAPZA2;RAB35;CAPZA1;CHMP4A;KIF5C;KIF5B;VTA1;ARPC5;PDCD6IP;ARPC3;ARPC4;ARPC2;RAB5A;CHMP5;TSG101;CHMP1A;SH3GL1;AP2M1;ACTR3;ACTR2;SMURF2;HSPA8;TGFBR1;DNM2;AGAP2;CAPZB;CDC42;SMAP1;IL2RB;ARRB2;CYTH4;PSD4;VPS36;VPS35	9	KEGG_2021_Human
Non-alcoholic fatty liver disease	50/155	1.74886980786739e-12	5.36903031015289e-11	3.83297505048531	103.766497431032	TGFB1;SDHD;SDHB;UQCRQ;UQCRC1;UQCR11;COX6A1;XBP1;COX7A2L;EIF2S1;FASLG;COX7A2;JUN;NDUFC2;COX6C;TNFRSF1A;NDUFS8;NDUFS6;NDUFS5;NDUFS3;CYCS;COX7B;NDUFB8;NDUFB7;NDUFB6;NDUFB3;NDUFB2;ADIPOR1;CASP7;UQCRFS1;CASP3;MLX;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;FOS;CDC42;NDUFAB1;DDIT3;COX5A;NDUFA12;NDUFA13;NDUFA11;PIK3CD;PRKAG1;COX5B;RAC1;BID	10	KEGG_2021_Human
