Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Amyotrophic lateral sclerosis	181/364	3.67081657019866e-31	1.17466130246357e-28	3.56033137615571	249.507039288079	BAD;MAPK13;NUP93;PSMC6;CCS;NUP98;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;PFN1;TP53;UQCR11;PSMD9;ACTB;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;PSMD1;PSMD2;NUP88;COX8A;COX7A2L;SETX;ATF6;ATF4;GABARAP;GLE1;TBK1;NUP62;SEC13;TUBB;TUBB2A;COX6C;ACTR10;COX7B;ACTR1A;PPP3CB;ACTR1B;ATXN2;ATG101;TUBB4B;COX6B1;FIG4;PSMA6;PSMA7;PSMA4;PSMA5;HNRNPA2B1;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;TOMM40;NDUFA12;NDUFA13;NDUFA10;NDUFA11;DERL1;NUP188;COX5B;PSMB7;PSMB5;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;ANXA7;RAB8A;RAC1;BID;ALYREF;SDHD;SDHB;SDHC;ATXN2L;UQCRQ;SRSF3;SQSTM1;SRSF7;TARDBP;RAB1A;NDUFB11;TNF;TANK;COX6A1;TUBA3D;KIF5B;NDUFV3;RAE1;NDUFV2;MAP2K3;NUP153;TRAF2;EIF2S1;BCL2L1;CHMP2B;RAB5A;VCP;ACTG1;COX7A2;TPR;CYC1;GPX1;FUS;HSPA5;GPX7;EIF2AK3;WIPI1;NDUFC2;WIPI2;NDUFC1;NUP133;TNFRSF1B;NDUFS8;NDUFS7;NUP54;NDUFS6;NDUFS5;BCL2;NDUFS3;NUP58;CYCS;NDUFS2;NDUFS1;PIK3C3;PSMD11;PSMD13;SEH1L;NDUFB8;PSMD12;DNAH8;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;KLC2;CASP9;UQCRFS1;CASP3;CASP1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA2;NDUFA1;ANXA11;SOD1;CAT;NUP35;MATR3;VDAC1;NUP37;BECN1;DCTN6;NXT1;NXT2;DCTN2;DCTN5;UBQLN1;HNRNPA3;SPG11	1	KEGG_2021_Human
Parkinson disease	128/249	4.47542746781259e-24	7.16068394850015e-22	3.77639675540479	203.032081739279	TRAP1;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;CALM2;CALM3;TP53;UQCR11;UBE2L6;UBE2L3;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;PSMD1;PSMD2;COX8A;COX7A2L;ATF6;ATF4;TXN;UBE2J1;UBE2J2;TUBB;UBE2G2;TUBB2A;COX6C;COX7B;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;NDUFA10;NDUFA11;COX5B;PSMB7;PSMB5;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;SDHD;SDHB;SDHC;UQCRQ;PPIF;NDUFB11;PARK7;COX6A1;TUBA3D;KIF5B;NDUFV3;NDUFV2;MFN1;EIF2S1;BCL2L1;GNAS;UBA1;TXN2;HTRA2;COX7A2;UBC;UBB;CYC1;HSPA5;EIF2AK3;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;ADORA2A;NDUFS5;NDUFS3;CYCS;NDUFS2;NDUFS1;NFE2L2;PSMD11;PSMD13;SLC25A4;NDUFB8;PSMD12;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;KLC2;CASP9;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA2;NDUFA1;VDAC2;VDAC1;SLC25A5;MAPK8	2	KEGG_2021_Human
Huntington disease	145/306	1.39599768076641e-22	1.4890641928175e-20	3.21943284206578	162.012364665531	PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;TFAM;TP53;STX1A;UQCR11;PSMD9;PSMD7;PSMD8;PSMD6;CREB3L2;PSMD3;CREB3L3;PSMD4;NRBF2;PSMD1;AP2S1;PSMD2;COX8A;COX7A2L;RCOR1;TUBB;TUBB2A;COX6C;ACTR10;COX7B;CLTC;CLTB;CLTA;ACTR1A;ACTR1B;ATG101;AP2B1;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;NDUFA10;NDUFA11;AP2A1;COX5B;PSMB7;PSMB5;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;SDHD;SDHB;SDHC;UQCRQ;PPIF;NDUFB11;COX6A1;TUBA3D;KIF5B;NDUFV3;NDUFV2;TRAF2;CREB3;CREB1;COX7A2;CYC1;AP2M1;GPX1;GPX7;WIPI1;NDUFC2;WIPI2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;CYCS;NDUFS2;NDUFS1;PIK3C3;PSMD11;PSMD13;SLC25A4;NDUFB8;PSMD12;DNAH8;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;NRF1;KLC2;CASP9;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA2;NDUFA1;SOD1;VDAC2;VDAC1;SLC25A5;BECN1;DCTN6;DCTN2;HDAC2;DCTN5;MAPK8;POLR2C;POLR2D;POLR2E;POLR2F;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L	3	KEGG_2021_Human
Prion disease	133/273	3.46813376593339e-22	2.77450701274672e-20	3.39112809821635	167.566678866227	BAD;MAPK13;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;ATF2;UQCR11;PSMD9;PSMD7;PSMD8;PSMD6;CREB3L2;PSMD3;CREB3L3;PSMD4;PSMD1;PSMD2;EGR1;COX8A;PRKCD;COX7A2L;CSNK2B;ATF4;TUBB;TUBB2A;COX6C;IL1A;COX7B;STIP1;PPP3CB;CSNK2A1;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;RYR1;NDUFA12;NDUFA13;NDUFA10;NDUFA11;COX5B;PSMB7;PSMB5;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;RAC1;RAC2;SDHD;SDHB;SDHC;UQCRQ;PPIF;NDUFB11;TNF;COX6A1;TUBA3D;KIF5B;NDUFV3;NDUFV2;PRNP;CYBA;EIF2S1;CREB3;CREB1;NCF2;NCF4;COX7A2;CYC1;HSPA5;HSPA8;EIF2AK3;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;CYCS;NDUFS2;NDUFS1;PSMD11;GSK3B;PSMD13;SLC25A4;NDUFB8;PSMD12;NDUFB7;NCAM1;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;PIK3R3;KLC2;CASP9;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA2;NDUFA1;SOD1;VDAC2;VDAC1;SLC25A5;MAPK8	4	KEGG_2021_Human
Pathways of neurodegeneration	197/475	1.85032320478365e-21	1.18420685106154e-19	2.54461429680615	121.477155200988	BAD;PSMC6;CCS;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;ARAF;ZFYVE1;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;PSMD1;PSMD2;WNT10A;ATF6;ATF4;GABARAP;TBK1;CSNK1A1;TUBB2A;ATXN3;ATXN2;ATG101;ATXN1;CSNK2A1;TUBB4B;COX6B1;FIG4;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;PSMA1;NDUFA12;NDUFA13;NDUFA10;NDUFA11;PSMB7;PSMB5;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;BID;ATXN2L;UQCRQ;SQSTM1;TARDBP;RAB1A;CSF1;PARK7;TNF;TANK;NRAS;TUBA3D;MFN1;MAP2K3;TRAF2;NFKB1;BCL2L1;RAB5A;GPX1;FUS;GPX7;EIF2AK3;WIPI1;NDUFC2;WIPI2;NDUFC1;TNFRSF1B;CDK5;BCL2;PIK3C3;SLC25A4;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;KLC2;DVL3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA2;NDUFA1;SLC25A5;BECN1;HSD17B10;BAK1;SPG11;TRAP1;MAPK13;CALM2;CALM3;STX1A;UQCR11;UBE2L6;UBE2L3;COX8A;CSNK1E;COX7A2L;CSNK2B;UBE2J1;UBE2J2;TUBB;UBE2G2;COX6C;IL1A;ACTR10;COX7B;ACTR1A;PPP3CB;ACTR1B;FADD;NDUFAB1;COX5A;TOMM40;RYR1;CTNNB1;DERL1;COX5B;RAB8A;HRAS;RAC1;SDHD;SDHB;SDHC;FAS;PPIF;RAF1;NDUFB11;COX6A1;KIF5B;CAPN1;NDUFV3;NDUFV2;PRNP;EIF2S1;CHMP2B;UBA1;VCP;HTRA2;PSEN1;COX7A2;UBC;UBB;CYC1;HSPA5;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;CYCS;NDUFS2;NDUFS1;PSMD11;GSK3B;PSMD13;PSMD12;DNAH8;PSMD14;CASP9;CASP7;UQCRFS1;CASP3;SOD1;CAT;VDAC2;VDAC1;DCTN6;DCTN2;DCTN5;ATP2A2;MAPK8	5	KEGG_2021_Human
Spliceosome	84/150	2.56987531820026e-19	1.37060016970681e-17	4.51372173406072	193.2110296113	PPIL1;ALYREF;CWC15;CRNKL1;WBP11;HNRNPM;HNRNPK;DDX39B;SRSF3;SRSF4;HNRNPC;SNRPF;SNRPG;SRSF6;SRSF7;SNRPE;PPIE;SNRPB;SRSF9;SNRPC;SF3B6;SF3B3;SF3B4;SRSF1;SRSF2;HNRNPU;EFTUD2;MAGOH;SNRPD3;SNRPD1;SF3B2;TXNL4A;BUD31;LSM2;LSM6;LSM4;LSM3;PRPF6;SNW1;PRPF4;TCERG1;DDX5;ZMAT2;SNRNP70;DHX15;DHX16;CCDC12;RBM17;FUS;NCBP2;HSPA8;CDC5L;PRPF40A;MAGOHB;PRPF19;RBM25;RBM22;USP39;RBM8A;PQBP1;SNU13;U2AF1L5;PLRG1;CTNNBL1;BCAS2;SF3A3;THOC1;U2SURP;SNRNP40;PRPF31;SNRPA1;RBMX;EIF4A3;ISY1;DDX23;U2AF2;U2AF1;SART1;PUF60;TRA2B;SNRPB2;SRSF10;HNRNPA3;SMNDC1	6	KEGG_2021_Human
Proteasome	39/46	3.02438085911203e-19	1.38257410702264e-17	19.6319914499466	837.155435809105	ADRM1;PSMB9;PSMA6;PSMA7;PSMA4;PSMC6;PSMA5;PSMA2;PSMC4;PSMA3;PSMC5;PSMC2;PSMA1;PSMC3;PSME2;PSMC1;PSME3;PSMD11;PSMD13;PSMD12;POMP;PSMD14;PSMB7;PSMD9;PSMB8;PSMB5;PSMD7;PSMB6;PSMD8;PSMB3;PSMB4;PSMD6;PSMB1;PSMD3;PSMB2;PSMD4;PSMD1;PSMD2;PSMF1	7	KEGG_2021_Human
Epstein-Barr virus infection	102/202	9.6564504052076e-19	3.86258016208304e-17	3.62442502299908	150.346552663536	ENTPD1;MAPK13;RUNX3;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;BAX;PSMC1;TP53;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;PSMD1;AKT2;E2F3;PSMD2;HES1;B2M;HLA-DRB5;GADD45B;GADD45A;GADD45G;HLA-C;HLA-A;HLA-B;HLA-F;SNW1;HLA-DRB1;ICAM1;RBPJ;TBK1;TYK2;HLA-DQB1;CALR;CD3D;FADD;HLA-DQA2;HLA-DQA1;STAT1;STAT3;NEDD4;HLA-DPB1;CDKN1A;IKBKB;HLA-DPA1;RAC1;CD58;IKBKG;JAK3;BID;HLA-DMA;IKBKE;JAK1;TAP1;FAS;TNF;RELB;CCND2;CCND1;MAP2K4;MAP2K3;TRAF3;ISG15;TRAF2;NFKB1;NFKB2;MYD88;TAB2;MAP3K14;IFNAR2;MDM2;OAS1;NFKBIB;NFKBIA;CDK6;OAS3;CDK4;CDK2;HLA-DRA;BCL2;IRF9;CYCS;NFKBIE;PSMD11;PSMD13;PSMD12;PSMD14;TNFAIP3;PIK3R3;CASP9;CASP3;CHUK;ADRM1;HDAC2;ITGAL;MAPK8;POLK;BAK1	8	KEGG_2021_Human
Protein processing in endoplasmic reticulum	89/171	1.3046291490158e-17	4.63868141872285e-16	3.84967645594823	149.667828111786	SEC24A;SEC24C;MOGS;RBX1;NSFL1C;DNAJB11;DNAJB12;BAX;RNF185;PREB;SEC24D;PLAA;UBE2D3;UBE2D1;UBE2D2;RRBP1;RNF5;HSP90B1;CAPN1;PDIA4;EDEM2;TRAF2;EIF2S1;PDIA6;NPLOC4;DDOST;DNAJC10;HYOU1;STT3A;ATF6;ATF4;VCP;NGLY1;CUL1;HSPBP1;UBE2J1;UBE2J2;HSPH1;BAG1;TXNDC5;SIL1;SKP1;SEC13;HSPA5;HSPA8;SSR3;EIF2AK1;SSR4;EIF2AK4;EIF2AK3;RAD23B;UBE2G2;DNAJC3;BCL2;CALR;NFE2L2;SAR1A;TRAM1;SAR1B;RPN1;SEL1L;RPN2;ATXN3;ERLEC1;SEC61G;SEC61B;SSR1;MAN1A2;MAN1A1;UBXN4;DNAJA2;DNAJA1;DAD1;CANX;P4HB;SEC23B;HSP90AB1;DERL2;DERL3;DERL1;HERPUD1;LMAN1;LMAN2;SEC61A2;MAPK8;OS9;SEC61A1;UBQLN1;BAK1	9	KEGG_2021_Human
Alzheimer disease	152/369	1.55886156035569e-16	4.9883569931382e-15	2.49887526724465	90.9525769007399	BAD;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;PSMC1;UQCRC1;CALM2;CALM3;ARAF;UQCR11;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;PSMD1;AKT2;PSMD2;NCSTN;COX8A;WNT10A;CSNK1E;COX7A2L;CSNK2B;ATF6;ATF4;PSENEN;CSNK1A1;TUBB;TUBB2A;COX6C;IL1A;COX7B;IDE;PPP3CB;ATG101;FADD;CSNK2A1;ADAM10;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;CTNNB1;NDUFA10;NDUFA11;COX5B;PSMB7;IKBKB;PSMB5;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;HRAS;BID;SDHD;SDHB;SDHC;FAS;UQCRQ;PPIF;RAF1;NDUFB11;CSF1;TNF;COX6A1;NRAS;TUBA3D;KIF5B;CAPN1;NDUFV3;NDUFV2;TRAF2;NFKB1;EIF2S1;PSEN1;COX7A2;CYC1;EIF2AK3;WIPI1;NDUFC2;WIPI2;NDUFC1;NDUFS8;CDK5;NDUFS7;NDUFS6;NDUFS5;NDUFS3;CYCS;NDUFS2;NDUFS1;PIK3C3;PSMD11;RTN3;RTN4;GSK3B;PSMD13;SLC25A4;NDUFB8;PSMD12;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;PIK3R3;KLC2;CASP9;CASP7;DVL3;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;CHUK;NDUFA5;ADRM1;NDUFA4;NDUFA2;NDUFA1;VDAC2;VDAC1;SLC25A5;GAPDH;BECN1;ATP2A2;HSD17B10;MAPK8	10	KEGG_2021_Human
